Epochs,R_AlexNet_Train_Acc,R_AlexNet_Test_Acc,R_AlexNet_Train_Loss,R_AlexNet_Test_Loss,R_ResNet34_Train_Acc,R_ResNet34_Test_Acc,R_ResNet34_Train_Loss,R_ResNet34_Test_Loss,R_ResNet50_Train_Acc,R_ResNet50_Test_Acc,R_ResNet50_Train_Loss,R_ResNet50_Test_Loss,R_VGG16_Train_Acc,R_VGG16_Test_Acc,R_VGG16_Train_Loss,R_VGG16_Test_Loss
31,0.4970238109429677,0.6454613208770752,1.307490309079488,0.9977165659268696,99.9074074074074,90.55555555555556,0.007341787986019,0.3652790097726716,99.8148148148148,89.25925925925925,0.0136498571270802,0.3962616920471191,89.49074074074075,84.07407407407408,0.2837987158666639,0.5102626245249721
32,0.5048363142543368,0.5879836479822794,1.2921598222520616,1.0101343989372251,99.9074074074074,90.37037037037037,0.0090818567516501,0.3435102353493373,99.62962962962963,89.07407407407408,0.0187044226605554,0.4227141936620076,90.41666666666669,87.77777777777777,0.2741164317464127,0.4262260378557531
33,0.471478177441491,0.4812128047148387,1.3810604015986123,1.3102074066797893,99.95370370370372,89.07407407407408,0.0069134205251055,0.3884040315945943,100.0,87.03703703703704,0.0135949924656683,0.4878452618916829,90.78703703703704,88.14814814814815,0.2686130029751974,0.4145043046378037
34,0.4901413718859355,0.5085565547148386,1.3597058587604098,1.205143411954244,99.95370370370372,88.14814814814815,0.007176321643569,0.4183199322885937,99.76851851851852,88.88888888888889,0.0156272370162803,0.410595307747523,91.66666666666669,85.74074074074075,0.2381778731942176,0.4477993330973036
35,0.5186011923684014,0.5686384042104086,1.2585418489244249,1.0220303932825725,99.86111111111111,89.07407407407408,0.0077704379732227,0.4204270566503207,99.9074074074074,89.81481481481481,0.0131037258269155,0.3613921751578648,92.08333333333331,86.66666666666667,0.2245330172864829,0.4398782218751662
36,0.4755704369809892,0.4367559552192688,1.3523486852645874,1.2955695390701294,99.95370370370372,88.88888888888889,0.0063049293821677,0.3987247745196025,99.62962962962963,87.77777777777777,0.0165952960481209,0.4039988882011837,94.02777777777776,85.92592592592592,0.1839840637848657,0.4465308232123361
37,0.4903273847368028,0.5256696542104086,1.360877341694302,1.193076769510905,99.9074074074074,89.44444444444444,0.0061385347850292,0.3942136036025153,99.86111111111111,88.51851851851852,0.0092218768824001,0.4616472042269177,92.3148148148148,87.5925925925926,0.2177704807151766,0.4143225598861189
38,0.5265997052192688,0.6402529875437418,1.2377270989947848,0.9642365574836732,99.95370370370372,90.0,0.0070232922666678,0.407318201329973,99.8148148148148,88.51851851851852,0.0101292353630175,0.4376361502541436,93.88888888888889,87.22222222222223,0.1732717081904411,0.394014147165067
39,0.5370163718859354,0.660528282324473,1.1781545082728069,0.9484484990437826,99.95370370370372,89.62962962962963,0.0050154621695743,0.3742146889368693,99.62962962962963,88.88888888888889,0.012997546534547,0.4397837320963542,94.16666666666669,86.85185185185185,0.1639941832160248,0.4013697615660289
40,0.5106646882163154,0.5005580385526022,1.2807759708828397,1.1395151615142822,100.0,89.25925925925925,0.0042992782820125,0.3659162008100086,99.8148148148148,87.22222222222223,0.011640381965074,0.4681686179505454,94.07407407407408,87.96296296296296,0.1767225173466345,0.37060033130076
